
---Writing 20 small files results---
 time: 0.000101690006 for thread 15
 time: 0.000808264012 for thread 16
 time: 0.000097179000 for thread 17
 time: 0.000111377012 for thread 18
 time: 0.000642044994 for thread 19
 time: 0.000106909021 for thread 20
Total time for all threads in execution 1: 0.000808264012

 time: 0.000002740999 for thread 1
 time: 0.000006514019 for thread 2
 time: 0.000002715009 for thread 3
 time: 0.000003469991 for thread 4
 time: 0.000004047994 for thread 5
 time: 0.000008867995 for thread 6
 time: 0.000004745001 for thread 7
 time: 0.000005544978 for thread 8
 time: 0.000005479989 for thread 9
 time: 0.000009912997 for thread 10
 time: 0.000153911009 for thread 11
 time: 0.000090741989 for thread 12
 time: 0.000660502003 for thread 13
 time: 0.000109693006 for thread 14
 time: 0.000304951973 for thread 15
 time: 0.000105701009 for thread 16
 time: 0.000562545989 for thread 17
 time: 0.000095935015 for thread 18
 time: 0.000367618981 for thread 19
 time: 0.001895245980 for thread 20
Total time for all threads in execution 2: 0.001895245980

 time: 0.000002652989 for thread 1
 time: 0.000003758993 for thread 2
 time: 0.000003093010 for thread 3
 time: 0.000003816996 for thread 4
 time: 0.000003088004 for thread 5
 time: 0.000016977981 for thread 6
 time: 0.000008114002 for thread 7
 time: 0.000004002999 for thread 8
 time: 0.000006427988 for thread 9
 time: 0.000005376001 for thread 10
 time: 0.000097210985 for thread 11
 time: 0.000778907997 for thread 12
 time: 0.000601025007 for thread 13
 time: 0.000098408986 for thread 14
 time: 0.000095455995 for thread 15
 time: 0.000124453974 for thread 16
 time: 0.000113613001 for thread 17
 time: 0.000755437999 for thread 18
 time: 0.000815417996 for thread 19
 time: 0.000653146009 for thread 20
Total time for all threads in execution 3: 0.000815417996

 time: 0.000002196000 for thread 1
 time: 0.000002251996 for thread 2
 time: 0.000002476008 for thread 3
 time: 0.000001818000 for thread 4
 time: 0.000012032018 for thread 5
 time: 0.000004658999 for thread 6
 time: 0.000004672998 for thread 7
 time: 0.000007605995 for thread 8
 time: 0.000004698988 for thread 9
 time: 0.000008019008 for thread 10
 time: 0.000083425984 for thread 11
 time: 0.000089624984 for thread 12
 time: 0.000077600009 for thread 13
 time: 0.000094948016 for thread 14
 time: 0.000082515995 for thread 15
 time: 0.000087638007 for thread 16
 time: 0.000079568010 for thread 17
 time: 0.000081428996 for thread 18
 time: 0.000117224990 for thread 19
 time: 0.000077934994 for thread 20
Total time for all threads in execution 4: 0.000117224990

 time: 0.000003205001 for thread 1
 time: 0.000003269000 for thread 2
 time: 0.000002614019 for thread 3
 time: 0.000002919987 for thread 4
 time: 0.000004895002 for thread 5
 time: 0.000005005975 for thread 6
 time: 0.000012375996 for thread 7
 time: 0.000005263020 for thread 8
 time: 0.000004514004 for thread 9
 time: 0.000005286012 for thread 10
 time: 0.000133680995 for thread 11
 time: 0.000101422018 for thread 12
 time: 0.000202742987 for thread 13
 time: 0.000084086991 for thread 14
 time: 0.000129499007 for thread 15
 time: 0.000293675024 for thread 16
 time: 0.000458780007 for thread 17
 time: 0.000091150985 for thread 18
 time: 0.000085325999 for thread 19
 time: 0.000087374996 for thread 20
Total time for all threads in execution 5: 0.000458780007

 time: 0.000002429995 for thread 1
 time: 0.000004257017 for thread 2
 time: 0.000003341993 for thread 3
 time: 0.000002910994 for thread 4
 time: 0.000003122987 for thread 5
 time: 0.000014082005 for thread 6
 time: 0.000007110997 for thread 7
 time: 0.000004685979 for thread 8
 time: 0.000005123002 for thread 9
 time: 0.000006028014 for thread 10
 time: 0.000112565991 for thread 11
 time: 0.000292581011 for thread 12
 time: 0.000100821024 for thread 13
 time: 0.000086988002 for thread 14
 time: 0.000104367005 for thread 15
 time: 0.000110866007 for thread 16
 time: 0.000389124005 for thread 17
 time: 0.000281752000 for thread 18
 time: 0.000089816982 for thread 19
 time: 0.000564941001 for thread 20
Total time for all threads in execution 6: 0.000564941001

 time: 0.000002551009 for thread 1
 time: 0.000003100984 for thread 2
 time: 0.000002557994 for thread 3
 time: 0.000001983979 for thread 4
 time: 0.000002350018 for thread 5
 time: 0.000015497993 for thread 6
 time: 0.000037905993 for thread 7
 time: 0.000004217989 for thread 8
 time: 0.000014560996 for thread 9
 time: 0.000006726012 for thread 10
 time: 0.000096432981 for thread 11
 time: 0.000143016019 for thread 12
 time: 0.000083659019 for thread 13
 time: 0.000102596998 for thread 14
 time: 0.000091978000 for thread 15
 time: 0.000099248020 for thread 16
 time: 0.000106913998 for thread 17
 time: 0.000104306993 for thread 18
 time: 0.000126918021 for thread 19
 time: 0.000319012004 for thread 20
Total time for all threads in execution 7: 0.000319012004

 time: 0.000003471010 for thread 1
